,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Metrics,DAILY_MARKET_CAPS,,,,,,,
,,ETH,BNB,ADA,SOL,MATIC,AVAX,ATOM,NEAR
,2022-10-06,163475522281,48013554582,14592010193,12104501989,6343091570,5133040885,3806525532,2953397550
,2022-10-07,163307579802,46461345518,14516473487,11847564338,6197581386,5048105401,3802658008,2896036936
,2022-10-08,160084472602,46074108670,14372895278,11692923623,6164632907,4977936657,3758324057,2841274135
,2022-10-09,159083423930,45097700498,14276638996,11634868896,6050577864,4970263237,3841599262,2807064159
,2022-10-10,159586330118,45353431566,14290398884,11733010113,6120273065,4995293528,3857332557,2821168733
,2022-10-11,156180434676,44486786749,13653344259,11448167354,6090701816,4814324834,3652248382,2619351560
,2022-10-12,154657511483,44256837124,13198595290,10986691634,5873817343,4718935610,3553794040,2549531965
,2022-10-13,156488571589,44244724964,12901537612,11138186204,5833656185,4728714085,3435628053,2541698381
,2022-10-14,155703285134,44381601383,12791915351,10936034777,5779207230,4641098221,3332445363,2457709030
,2022-10-15,156801885520,43918740944,12392689793,10723795928,5885539508,4638088682,3398226514,2434890201
,2022-10-16,154496140302,43876754813,12309037705,10608095633,5897346925,4579441414,3380946158,2379583373
,2022-10-17,157219790373,44431434369,12515578717,10784111501,5946551730,4669888753,3431718673,2436665851
,2022-10-18,160690333948,45002578231,12609605254,11181494599,6318260454,4808057084,3648658610,2488612871
,2022-10-19,158082173403,44649912359,12256641767,10820701607,6446304310,4709898211,3670449569,2413677115
,2022-10-20,154808369276,44327023282,11852415892,10362112405,6280469618,4489125546,3446658685,2297082623
,2022-10-21,154512893268,43919112785,11498614666,10052442947,6024618382,4496118067,3327665880,2331005217
,2022-10-22,156673724237,44082565735,12240818817,10070949099,6181860297,4651315496,3436037429,2352136815
,2022-10-23,158365108378,44153416937,12322276863,10044295676,6197472373,4652566949,3432341375,2376865210
